title,authors,url,session,abstract_takeaway
Beyond Correctness: Distance-Based Social Dynamics of Multi-Agent Debate,Seungwoong Ha; Melanie Mitchell,https://icml.cc/virtual/2026/poster/61651,Poster Session 1,"Focuses on multi-agent debate, binary correctness, revise answers, ground truth, and beyond correctness."
CollabBench: Benchmarking and Unleashing Collaborative Ability of LLMs with Diverse Players via Proactive Engagement,Hong Qian; Yuanhao Liu; Zihan Zhou; Zongbao Zhang; Hanjie Ge; Haotian Shi; Liang Dou; Xiangfeng Wang; Jing-Wen Yang; Aimin Zhou,https://icml.cc/virtual/2026/poster/61813,Poster Session 8,"Focuses on efficiency affective, collabbench benchmarking, benchmarking unleashing, unleashing collaborative, and collaborative ability."
CyberJurors: A Multi-Agent Simulation Task for E-Commerce Disputes Verdict,Yanhui Sun; Wu Liu; Haifeng Ming; Xinru Wang; Hantao Yao; Yongdong Zhang,https://icml.cc/virtual/2026/poster/61907,Poster Session 2,"Focuses on task e-commerce, e-commerce dispute, causal logic, cyberjurors multi-agent, and multi-agent simulation."
Discovering Differences in Strategic Behavior between Humans and LLMs,Caroline L Wang; Daniel Kasenberg; Kimberly Stachenfeld; Pablo Samuel Castro,https://icml.cc/virtual/2026/poster/63317,Poster Session 8,"Focuses on behavior humans, human llm, llm behavior, strategic behavior, and discovering differences."
OmniSapiens: A Foundation Model for Social Behavior Processing via Heterogeneity-Aware Relative Policy Optimization,Keane Ong; Sabri Boughorbel; Luwei Xiao; Chanakya Ekbote; David Dai; Ao Qu; Jingyao Wu; Rui Mao; Ehsan Hoque; Erik Cambria; Gianmarco Mengaldo; Paul Pu Liang,https://icml.cc/virtual/2026/poster/64508,Poster Session 5,"Focuses on policy optimization, behavioral tasks, foundation social, social behavior, and behavior processing."
Position: Benchmarks for Vision–Language Models in Urban Perception Should Be Reliability-Aware and Negotiated,Rashid Mushkani,https://icml.cc/virtual/2026/poster/67079,Poster Session 7,"Focuses on vision language, urban perception, perception should, position vision, and language urban."
Position: LLM-Based Social Simulations Require a Boundary,Zengqing Wu; Run Peng; Takayuki Ito; Makoto Onizuka; Chuan Xiao,https://icml.cc/virtual/2026/poster/67234,Poster Session 3,"Focuses on social simulations, llm-based social, mean alignment, research questions, and position llm-based."
Position: Predicting AI’s Impact on Labor Is a Core Machine Learning Problem,Yong Suk Lee,https://icml.cc/virtual/2026/poster/67177,Poster Session 8,"Focuses on predicting impact, impact labor, core machine, position predicting, and labor core."
Who’s in Charge? Disempowerment Patterns in Real-World LLM Usage,Mrinank Sharma; Miles McCain; Raymond Douglas; David Duvenaud,https://icml.cc/virtual/2026/poster/62751,Poster Session 4,"Focuses on disempowerment potential, disempowerment patterns, patterns real-world, assistant interactions, and who charge."
