title,authors,url,session,abstract_takeaway
Position: Sustainable Open-Source AI Requires Tracking the Cumulative Footprint of Derivatives,shaina raza; Iuliia Eyriay; Ahmed Radwan; Nathaniel Lesperance; Deval Pandya; Sedef Akinli Kocak; Graham Taylor,https://icml.cc/virtual/2026/poster/67171,Poster Session 6,"Focuses on derivative lineages, position sustainable, sustainable tracking, tracking cumulative, and cumulative footprint."
ProOPF: Benchmarking and Improving LLMs for Professional-Grade Power Systems Optimization Modeling,Chao Shen; Zihan Guo; Xu Wan; Zhenghao Yang; Yifan Zhang; Wenqi Huang; Jie Song; Zongyan Zhang; Mingyang Sun,https://icml.cc/virtual/2026/poster/63658,Poster Session 2,"Focuses on optimization modeling, opf modeling, proopf benchmarking, benchmarking llms, and llms professional-grade."
Towards Resource-Efficient LLMs: End-to-End Energy Accounting of Distillation Pipelines,Katherine Lambert; Sasha Luccioni,https://icml.cc/virtual/2026/poster/62967,Poster Session 5,"Focuses on end-to-end energy, energy accounting, distillation pipelines, resource-efficient llms, and llms end-to-end."
